engine_capacity_cc,fuel_category,owner_count,car_brand,transmission_type,exterior_color,fuel_efficiency_kmpl
1000,Petrol,5,Chevrolet,Manual,Silver,18.73872483
5000,Electric,1,Toyota,Manual,Red,17.05527768
1800,Electric,5,BMW,Manual,Gray,13.32217109
1500,Electric,5,Ford,Automatic,Silver,22.64273524
1200,Petrol,4,Honda,Manual,Red,20.33319965
1200,Petrol,2,Nissan,Automatic,White,21.03387481
2500,Diesel,4,Hyundai,Automatic,Blue,15.94003079
2500,Electric,1,Nissan,Automatic,Black,23.89249782
3000,Electric,5,Kia,Manual,Red,19.91680522
3000,Diesel,4,Toyota,Manual,White,18.28209649
1800,Petrol,5,Ford,Manual,Silver,19.50163779
5000,Petrol,4,Ford,Manual,Black,15.5192345
5000,Diesel,2,Kia,Manual,White,13.67649456
1500,Diesel,2,Ford,Manual,White,16.42076823
2000,Electric,4,Honda,Manual,Gray,24.67869688
1500,Diesel,3,Honda,Manual,Blue,22.13106451
1000,Diesel,4,BMW,Manual,Silver,18.29592018
2000,Electric,3,Ford,Manual,White,16.83315001
1000,Petrol,5,Volkswagen,Automatic,Black,18.50491024
3000,Diesel,4,Volkswagen,Manual,Red,24.7559249
2500,Electric,1,Chevrolet,Automatic,White,18.59757343
2500,Electric,4,Toyota,Automatic,Red,22.44773043
2500,Diesel,2,Chevrolet,Automatic,White,21.06240695
3000,Petrol,3,Toyota,Manual,Black,19.15475025
4000,Electric,5,Tesla,Automatic,Blue,26.78067732
1500,Diesel,4,Hyundai,Automatic,Red,19.03489276
800,Electric,4,Honda,Manual,Blue,18.45355699
2500,Electric,2,Kia,Automatic,Gray,26.68667168
4000,Electric,4,Kia,Manual,White,19.51252062
1800,Petrol,5,Ford,Automatic,Gray,20.57203662
3000,Diesel,4,Toyota,Automatic,White,24.83836462
2000,Electric,3,Honda,Automatic,Gray,27.28109596
1500,Electric,3,Nissan,Manual,Red,19.68363247
5000,Diesel,4,Volkswagen,Manual,Blue,17.98467448
3000,Electric,1,Kia,Manual,Gray,24.29757814
2500,Electric,1,Ford,Automatic,Silver,26.25970606
1200,Diesel,4,Hyundai,Automatic,Black,24.07182691
5000,Diesel,2,Tesla,Automatic,Black,25.46053998
2000,Diesel,5,Ford,Automatic,Black,17.31597917
5000,Petrol,5,BMW,Manual,Silver,17.26241287
5000,Diesel,5,Chevrolet,Manual,Red,25.28194603
800,Diesel,2,Tesla,Manual,White,19.05825118
1000,Diesel,2,Ford,Manual,Black,19.85520311
2000,Petrol,4,Volkswagen,Manual,Red,18.11214262
2500,Petrol,3,Honda,Manual,Red,19.27974818
1200,Electric,4,Tesla,Automatic,Gray,13.28682229
1500,Petrol,5,Tesla,Manual,Silver,25.17390625
5000,Diesel,2,Volkswagen,Manual,Silver,16.30736612
4000,Petrol,5,Hyundai,Manual,Red,22.29457286
2000,Diesel,4,Honda,Automatic,Silver,15.24361551
1800,Petrol,1,Toyota,Manual,Red,19.21101273
3000,Petrol,1,Kia,Manual,Red,18.20051946
1800,Petrol,2,Toyota,Manual,White,15.17348159
1200,Petrol,3,BMW,Automatic,Red,15.37789817
2000,Electric,2,BMW,Manual,Red,23.0032905
1000,Petrol,5,Nissan,Automatic,Black,17.48778923
1500,Petrol,4,Toyota,Automatic,Black,23.15076957
2500,Electric,3,Toyota,Automatic,Blue,22.24718564
800,Diesel,2,Hyundai,Manual,Red,18.93062228
1800,Diesel,2,Kia,Manual,Blue,21.64409753
5000,Petrol,1,Volkswagen,Automatic,Black,7.85694779
5000,Diesel,2,Chevrolet,Automatic,Black,19.38262859
5000,Electric,3,Volkswagen,Automatic,White,11.5510771
1200,Electric,1,Hyundai,Manual,Silver,21.74247295
2000,Electric,4,Ford,Manual,Black,20.39646324
1000,Petrol,2,Volkswagen,Manual,Silver,9.904600971
4000,Electric,4,Chevrolet,Automatic,Red,19.97108531
5000,Petrol,1,Chevrolet,Automatic,Gray,11.44635722
2000,Diesel,1,BMW,Automatic,Gray,16.62842216
3000,Diesel,4,Volkswagen,Manual,Black,14.24129617
1000,Petrol,5,Hyundai,Manual,Blue,21.65788846
1000,Petrol,3,Toyota,Manual,White,15.62652367
3000,Petrol,3,Volkswagen,Manual,Black,16.59254565
1500,Petrol,2,Kia,Automatic,Black,7.411534096
5000,Diesel,1,Toyota,Automatic,Silver,14.12759976
1500,Petrol,5,Nissan,Automatic,White,11.90673584
1500,Electric,5,Volkswagen,Manual,Gray,21.25526539
4000,Diesel,5,Kia,Manual,Gray,17.76997032
2000,Electric,1,Chevrolet,Manual,Red,18.64731392
800,Petrol,1,Ford,Manual,Red,26.9467057
3000,Electric,4,Tesla,Manual,Gray,19.58906593
5000,Diesel,2,Kia,Manual,Black,18.33900194
1500,Electric,2,Honda,Manual,Black,29.59828478
1500,Petrol,1,Honda,Manual,White,14.25298715
1500,Petrol,4,Chevrolet,Automatic,White,17.40521118
3000,Diesel,2,Kia,Manual,White,21.99959549
800,Diesel,2,Kia,Manual,Gray,14.57669218
4000,Electric,3,Hyundai,Automatic,Blue,18.99135006
2000,Electric,4,Nissan,Manual,Silver,28.34290328
1500,Electric,2,Volkswagen,Manual,Red,17.74852604
2000,Diesel,3,Chevrolet,Manual,Blue,20.95704905
2000,Diesel,4,Toyota,Manual,Black,24.547511
1000,Electric,4,BMW,Manual,White,7.248301805
800,Electric,4,Volkswagen,Automatic,White,22.77070556
2500,Electric,4,BMW,Automatic,White,8.524777379
3000,Electric,1,BMW,Automatic,White,22.44264876
5000,Electric,2,BMW,Automatic,White,20.98371553
5000,Diesel,5,Chevrolet,Automatic,White,12.37184349
2500,Diesel,4,Honda,Manual,Red,16.56689628
2500,Diesel,4,Kia,Manual,Black,24.41489984
2500,Diesel,4,Ford,Automatic,Gray,11.91799727
2000,Diesel,5,Toyota,Automatic,Red,13.76888136
3000,Diesel,2,Honda,Manual,Black,26.45755339
800,Petrol,3,Hyundai,Automatic,Silver,16.94458279
1800,Petrol,1,Kia,Automatic,Red,17.69963409
1800,Petrol,5,Chevrolet,Manual,Red,20.70210996
800,Electric,1,Hyundai,Manual,White,22.65169682
1200,Petrol,4,Tesla,Automatic,Silver,20.35102783
5000,Petrol,1,Toyota,Automatic,Black,13.95733095
2000,Diesel,4,Ford,Manual,Black,21.97938801
1500,Electric,3,Honda,Automatic,Silver,14.94169058
1000,Petrol,2,Toyota,Manual,Black,16.52276043
5000,Petrol,4,Kia,Manual,Silver,14.70818532
800,Petrol,2,Volkswagen,Automatic,White,13.07996517
1500,Petrol,3,Honda,Manual,Silver,18.25004998
3000,Petrol,5,Chevrolet,Automatic,White,20.54540786
1500,Petrol,1,Chevrolet,Manual,Gray,15.77987307
2000,Petrol,2,Chevrolet,Manual,Gray,20.57872042
1200,Electric,4,Tesla,Manual,Black,11.14270763
1000,Petrol,5,Chevrolet,Automatic,Gray,19.89061288
5000,Petrol,4,Hyundai,Manual,Black,17.00956574
800,Diesel,4,Tesla,Automatic,Blue,12.2203806
3000,Electric,2,Ford,Manual,Black,21.78450756
2000,Electric,4,Toyota,Manual,White,10.93903948
2500,Electric,3,Tesla,Manual,Blue,25.34578046
2500,Petrol,4,Volkswagen,Manual,Red,19.68821674
1800,Petrol,1,BMW,Manual,Black,15.8915403
4000,Electric,5,Honda,Automatic,Gray,22.80564597
2000,Petrol,4,Nissan,Manual,White,17.9566197
1800,Petrol,3,Kia,Automatic,Gray,20.66045715
2500,Electric,2,Ford,Manual,Red,19.47516874
2000,Petrol,3,Chevrolet,Automatic,Black,18.2033277
2000,Petrol,4,BMW,Automatic,Silver,28.02416462
1500,Electric,5,Nissan,Manual,White,18.69628216
1000,Electric,3,Honda,Automatic,Silver,20.42731091
3000,Petrol,3,Volkswagen,Manual,Silver,19.26088655
1800,Petrol,5,Nissan,Manual,Silver,18.58983622
2000,Petrol,1,Tesla,Manual,Black,14.43897656
1200,Electric,4,Kia,Manual,Blue,21.17764805
2000,Petrol,2,Chevrolet,Manual,Blue,17.75400145
1500,Petrol,3,Ford,Automatic,Gray,18.82869277
4000,Petrol,5,Hyundai,Manual,White,20.21807218
1500,Diesel,2,Nissan,Automatic,White,22.99296023
1200,Diesel,3,BMW,Automatic,Black,18.93889058
3000,Petrol,1,Ford,Automatic,Black,11.40601709
3000,Electric,1,Honda,Manual,White,22.46020833
4000,Electric,4,Hyundai,Manual,Red,16.38150822
4000,Diesel,2,Tesla,Automatic,Silver,17.26843323
1800,Petrol,2,BMW,Manual,Silver,20.89623418
1000,Diesel,4,Hyundai,Manual,Red,18.77243344
1800,Petrol,1,BMW,Automatic,White,14.04451842
3000,Petrol,4,Chevrolet,Manual,Silver,17.98832494
1800,Petrol,2,Kia,Manual,Red,14.75040239
1200,Petrol,5,Nissan,Manual,White,21.38765278
3000,Petrol,3,BMW,Manual,Red,23.8354111
1200,Petrol,3,Chevrolet,Automatic,Silver,27.57651799
1000,Diesel,3,Hyundai,Automatic,Blue,22.23057919
1500,Petrol,5,Hyundai,Manual,Black,16.50953227
800,Petrol,5,Nissan,Automatic,White,16.88760755
1800,Electric,2,Volkswagen,Manual,Blue,16.61808706
1000,Petrol,4,Ford,Manual,Blue,20.77131919
2500,Diesel,5,Nissan,Manual,Blue,27.84219672
800,Electric,4,Toyota,Automatic,Silver,18.53623101
2500,Petrol,5,Nissan,Automatic,Silver,20.39892369
5000,Petrol,5,Tesla,Automatic,Black,23.36745391
3000,Diesel,1,Kia,Automatic,Blue,28.784642
5000,Diesel,2,Chevrolet,Manual,Gray,17.58064171
1500,Electric,4,Hyundai,Automatic,Red,19.16272332
800,Diesel,3,Chevrolet,Manual,Gray,22.84168033
800,Petrol,3,Toyota,Manual,Blue,19.13232765
1500,Petrol,1,Chevrolet,Manual,Silver,13.19028116
800,Electric,4,Tesla,Automatic,Gray,23.09465913
4000,Petrol,4,Toyota,Automatic,Silver,29.71748746
2500,Petrol,2,Toyota,Manual,Red,13.94378761
1800,Diesel,5,Tesla,Automatic,Red,17.29924298
1800,Diesel,4,Kia,Automatic,Gray,12.63944054
2500,Electric,2,Toyota,Manual,White,12.857558
5000,Diesel,1,Volkswagen,Automatic,Blue,28.39616467
2500,Petrol,3,BMW,Automatic,Black,20.80120727
4000,Electric,5,BMW,Manual,White,14.18025069
2500,Petrol,2,Hyundai,Automatic,White,17.58862805
1500,Diesel,1,Honda,Automatic,Gray,16.23931376
2500,Diesel,5,Toyota,Automatic,Silver,14.52475162
4000,Electric,1,Honda,Automatic,Silver,17.36877135
1000,Diesel,5,Ford,Automatic,Silver,20.4753144
1800,Diesel,4,Chevrolet,Automatic,Silver,7.334979641
1200,Electric,2,BMW,Automatic,Blue,21.77353091
5000,Petrol,3,Tesla,Automatic,Gray,15.48324645
4000,Petrol,4,Honda,Automatic,White,11.61377967
3000,Diesel,5,Nissan,Automatic,White,25.32317112
800,Electric,3,Volkswagen,Manual,Silver,14.64825622
1200,Petrol,2,Chevrolet,Automatic,Silver,17.07246636
2500,Petrol,5,Hyundai,Manual,Silver,17.02169637
1800,Petrol,4,Ford,Manual,Black,18.87804473
3000,Electric,1,Volkswagen,Manual,Blue,18.06042938
5000,Diesel,2,Ford,Manual,Red,11.53813338
4000,Electric,1,Kia,Automatic,Silver,30.08176916
1800,Petrol,5,BMW,Manual,Silver,16.08518637
1000,Diesel,4,Chevrolet,Manual,Black,17.37779993
2500,Petrol,2,BMW,Automatic,Blue,16.49661048
1200,Diesel,3,Tesla,Automatic,Blue,19.01923954
5000,Petrol,1,Honda,Manual,Gray,22.5755806
800,Electric,4,BMW,Manual,Silver,14.67191175
1500,Petrol,4,Nissan,Automatic,Blue,16.47476159
3000,Petrol,5,Chevrolet,Manual,Blue,25.50816792
800,Electric,2,Toyota,Automatic,Silver,12.15679402
3000,Electric,1,BMW,Automatic,White,18.56813046
800,Diesel,1,Hyundai,Manual,Gray,16.22758559
1000,Electric,5,Hyundai,Automatic,Gray,18.43256489
800,Diesel,2,Hyundai,Automatic,Gray,17.18537513
2000,Electric,1,Nissan,Manual,White,27.74856986
1200,Diesel,4,Tesla,Manual,White,8.834057054
3000,Diesel,3,BMW,Manual,Gray,24.51053513
1200,Petrol,4,Nissan,Manual,Silver,19.33328942
1200,Petrol,3,BMW,Automatic,Red,11.4218215
800,Petrol,1,Kia,Manual,Blue,24.56137657
5000,Petrol,2,Toyota,Automatic,Gray,20.33592611
1200,Diesel,2,Toyota,Automatic,Blue,18.36294601
3000,Electric,5,Honda,Automatic,Blue,19.78845251
800,Petrol,5,Hyundai,Manual,Silver,14.12550993
2000,Electric,3,Toyota,Manual,Red,15.31090121
1000,Electric,2,Kia,Automatic,White,15.72095837
5000,Petrol,2,Volkswagen,Automatic,Silver,21.30098445
5000,Petrol,1,BMW,Manual,Red,15.24020906
5000,Diesel,3,BMW,Manual,Silver,22.08528333
2500,Petrol,3,Volkswagen,Manual,Silver,15.36100881
2000,Diesel,1,Tesla,Automatic,White,17.33646242
800,Electric,5,Volkswagen,Manual,Blue,14.13207397
800,Diesel,2,Kia,Manual,Silver,14.46433904
1000,Diesel,3,Toyota,Automatic,Blue,14.69972621
1500,Diesel,5,Tesla,Manual,Blue,11.28830678
3000,Electric,2,Volkswagen,Manual,Black,17.84896688
5000,Petrol,2,Hyundai,Manual,Red,18.26162498
1000,Petrol,5,Nissan,Automatic,Black,21.41507605
1800,Diesel,3,BMW,Manual,Red,14.46266074
1500,Petrol,5,Nissan,Automatic,Black,26.42807173
1000,Diesel,4,Chevrolet,Manual,Silver,18.99358586
800,Diesel,3,Toyota,Manual,White,13.33202719
2500,Diesel,1,Kia,Manual,Blue,14.13720469
800,Diesel,1,Toyota,Automatic,Black,14.98214609
800,Electric,1,Tesla,Manual,Gray,18.17649643
1500,Electric,5,Honda,Automatic,Silver,14.15877265
2000,Electric,4,Ford,Manual,Red,11.50141783
1500,Electric,4,Ford,Manual,Black,8.057307984
1500,Petrol,2,Ford,Manual,Blue,23.70359709
1000,Petrol,3,Hyundai,Automatic,Blue,29.86542727
2500,Diesel,2,Honda,Automatic,Silver,23.37699269
2500,Diesel,3,Kia,Manual,Black,23.95107735
2500,Diesel,1,Toyota,Manual,Gray,15.74445711
1500,Diesel,5,Volkswagen,Automatic,Red,17.0649018
1500,Diesel,4,Nissan,Manual,Blue,23.49998124
4000,Electric,4,BMW,Automatic,Black,23.37348108
5000,Petrol,3,BMW,Manual,Silver,22.78342062
2000,Petrol,1,Ford,Manual,White,26.27815436
3000,Electric,2,BMW,Manual,Silver,6.301649564
2000,Petrol,5,Toyota,Manual,Gray,18.95108568
800,Electric,3,Honda,Manual,Red,24.47633265
1500,Electric,2,Tesla,Manual,Red,17.01049601
2500,Electric,4,Hyundai,Manual,Red,23.48998133
800,Electric,3,Nissan,Manual,Gray,20.39336152
4000,Petrol,4,Honda,Automatic,Black,22.8447765
1200,Diesel,5,Kia,Automatic,Red,29.94914987
1000,Petrol,3,Volkswagen,Automatic,Red,18.87847203
1500,Diesel,2,Honda,Manual,Gray,21.34319118
3000,Diesel,3,Chevrolet,Automatic,Gray,19.07737266
1800,Diesel,4,Chevrolet,Automatic,Red,21.94392305
1000,Diesel,5,Nissan,Manual,Silver,23.64292373
3000,Diesel,5,Tesla,Manual,White,14.32583429
1800,Diesel,2,Ford,Manual,White,17.25535563
2500,Electric,2,Kia,Automatic,Silver,24.6706934
3000,Diesel,4,Tesla,Automatic,White,14.18129516
1800,Petrol,4,Tesla,Manual,Blue,14.52805919
2500,Electric,1,Kia,Automatic,Black,16.5125618
5000,Diesel,5,Honda,Manual,Silver,15.14411558
3000,Petrol,5,Volkswagen,Automatic,Gray,10.38378881
1800,Petrol,3,Kia,Manual,Blue,10.4227926
1200,Diesel,5,Volkswagen,Automatic,White,17.97944633
800,Petrol,5,Honda,Automatic,Blue,18.51206962
3000,Electric,2,Kia,Automatic,Blue,19.35644844
4000,Electric,1,Tesla,Manual,Blue,17.72079481
1000,Electric,3,Nissan,Automatic,Red,19.38256287
2500,Diesel,4,Nissan,Manual,Silver,26.00489657
800,Electric,2,Ford,Manual,Black,18.16029005
2000,Diesel,4,Nissan,Manual,White,13.0474177
2500,Electric,3,Chevrolet,Manual,Blue,25.1676891
5000,Petrol,4,Toyota,Automatic,Red,19.26195757
1500,Electric,4,Chevrolet,Manual,Black,11.09239212
1000,Electric,3,Tesla,Manual,White,21.43975636
1500,Petrol,5,Volkswagen,Manual,Gray,20.49647841
1500,Petrol,4,Hyundai,Automatic,Gray,17.2508416
2000,Diesel,3,Nissan,Manual,Gray,22.55707655
800,Petrol,5,Tesla,Automatic,White,11.7736951
4000,Electric,4,BMW,Manual,White,11.58382049
1200,Petrol,5,BMW,Automatic,Red,21.00265026
800,Diesel,4,Kia,Automatic,Red,13.31746079
5000,Electric,5,Tesla,Manual,White,19.31130591
2500,Petrol,4,Volkswagen,Manual,Gray,20.24574321
800,Petrol,1,Nissan,Manual,Black,19.22293095
3000,Petrol,4,Chevrolet,Manual,Gray,20.73638986
5000,Electric,2,Volkswagen,Manual,White,13.38465544
2000,Electric,4,Chevrolet,Manual,Silver,15.39510163
1000,Diesel,1,Honda,Automatic,Red,21.19673966
1800,Diesel,1,Ford,Manual,Silver,15.5751757
1500,Diesel,1,Tesla,Automatic,Silver,18.28173381
3000,Petrol,2,Honda,Manual,White,15.43340771
4000,Petrol,1,Volkswagen,Automatic,Silver,12.36246355
5000,Petrol,5,Tesla,Manual,Black,25.1563373
2500,Petrol,4,Chevrolet,Manual,White,13.87367973
1800,Diesel,4,Toyota,Automatic,Black,17.24120504
1000,Diesel,1,Ford,Manual,Black,12.98345713
1200,Electric,5,Nissan,Manual,White,10.83698232
800,Petrol,1,Toyota,Automatic,Blue,18.4922826
1200,Electric,3,Chevrolet,Manual,Silver,15.65148501
3000,Electric,1,Nissan,Automatic,Blue,14.02881061
5000,Electric,1,Chevrolet,Manual,Silver,12.59359574
1500,Diesel,3,Nissan,Manual,Blue,18.87769201
4000,Diesel,5,Chevrolet,Manual,Blue,18.38695978
800,Petrol,1,Honda,Manual,Red,17.05672493
1500,Petrol,5,Kia,Manual,Blue,22.4929209
2000,Diesel,4,Nissan,Automatic,Red,21.52599103
2000,Diesel,2,Honda,Manual,Red,17.06198218
3000,Diesel,5,Hyundai,Manual,Black,23.32892694
5000,Petrol,5,Hyundai,Automatic,Red,16.60605571
2000,Diesel,1,Kia,Manual,Red,13.53320078
1500,Diesel,5,Tesla,Manual,Black,18.49678689
5000,Diesel,3,Nissan,Manual,Red,19.7884382
800,Petrol,4,Chevrolet,Automatic,White,12.33590867
4000,Diesel,1,Kia,Manual,Blue,11.54847192
1000,Diesel,5,Chevrolet,Automatic,Red,16.91420936
1000,Electric,2,Chevrolet,Manual,Red,27.32570233
2000,Diesel,2,BMW,Manual,Gray,19.52768793
2500,Petrol,4,Ford,Automatic,Gray,15.06492763
3000,Petrol,3,Kia,Manual,Black,18.45364835
5000,Diesel,5,Volkswagen,Manual,Blue,18.32744626
2500,Electric,5,Nissan,Automatic,Blue,15.48987717
800,Diesel,2,Kia,Automatic,Blue,18.00311564
2500,Petrol,3,Toyota,Automatic,Blue,26.49939611
2500,Diesel,1,Ford,Automatic,Gray,9.802165635
800,Electric,5,BMW,Manual,Silver,25.3160058
1800,Diesel,5,Toyota,Automatic,Silver,15.54846854
4000,Diesel,2,Ford,Automatic,White,21.2531351
1000,Electric,3,Hyundai,Automatic,Blue,18.9956854
2500,Petrol,2,Ford,Manual,Black,13.25479332
5000,Petrol,5,Toyota,Automatic,White,22.29281583
1200,Electric,2,Ford,Manual,White,27.67435691
1200,Petrol,3,Hyundai,Manual,Gray,19.20143967
2500,Electric,2,Volkswagen,Automatic,Silver,16.15239139
1000,Petrol,3,Ford,Manual,Black,16.97873372
1500,Diesel,2,Toyota,Automatic,White,23.72419287
1500,Diesel,5,Honda,Manual,Blue,12.86487856
1000,Petrol,1,BMW,Manual,White,16.94997067
3000,Petrol,2,Volkswagen,Automatic,Black,17.41006144
4000,Diesel,4,Hyundai,Manual,Silver,17.84620855
3000,Petrol,5,Tesla,Automatic,Blue,14.78881931
2000,Electric,1,Tesla,Automatic,Gray,16.33732026
3000,Electric,2,Ford,Manual,Black,16.26046803
4000,Petrol,2,Hyundai,Automatic,Silver,20.26088102
1200,Petrol,4,Nissan,Automatic,Blue,21.02869074
1000,Diesel,4,Toyota,Manual,White,16.280685
1800,Electric,1,Nissan,Manual,White,18.05948904
1800,Diesel,1,Chevrolet,Manual,Red,21.37956595
4000,Petrol,2,Hyundai,Automatic,Gray,14.01632586
1000,Electric,1,Kia,Automatic,White,14.47834409
1800,Electric,3,Tesla,Manual,Red,24.68207655
800,Electric,2,Nissan,Automatic,White,17.53753181
1200,Petrol,4,Kia,Automatic,Silver,9.964934819
1200,Diesel,4,Ford,Manual,Silver,19.50147054
800,Diesel,3,BMW,Automatic,Blue,24.73407326
4000,Electric,5,Honda,Manual,Silver,26.05582634
1000,Electric,2,Toyota,Manual,Gray,19.81810368
1200,Diesel,2,Chevrolet,Automatic,Silver,22.74470427
5000,Diesel,1,Tesla,Automatic,White,14.91804402
1500,Electric,3,Honda,Automatic,Gray,15.3534147
800,Diesel,1,Volkswagen,Automatic,Gray,18.62222471
1800,Diesel,4,Nissan,Automatic,Red,26.73329685
800,Diesel,5,Toyota,Manual,Silver,14.61120001
1500,Petrol,1,Toyota,Automatic,Silver,10.01421209
800,Petrol,3,Hyundai,Automatic,Red,25.18015289
5000,Diesel,3,Hyundai,Manual,Black,20.30531009
4000,Electric,5,Hyundai,Automatic,Blue,19.50825438
2500,Petrol,3,Toyota,Manual,Black,15.51102713
1200,Diesel,1,Tesla,Automatic,Silver,15.85558238
2000,Petrol,4,Tesla,Manual,Gray,17.85239303
1200,Diesel,5,Nissan,Manual,Gray,14.52469356
2000,Electric,2,Toyota,Automatic,Gray,23.53079898
4000,Petrol,4,Nissan,Automatic,White,20.54950349
2000,Electric,3,Tesla,Manual,White,10.8524535
5000,Diesel,4,Kia,Automatic,Blue,15.02743457
1800,Petrol,2,Ford,Automatic,Blue,15.58631398
5000,Electric,2,Ford,Manual,White,21.33990011
3000,Electric,2,Toyota,Manual,Silver,22.58812253
3000,Electric,5,Chevrolet,Automatic,White,9.822399639
1200,Electric,4,Chevrolet,Automatic,Red,15.96365231
1800,Petrol,1,Chevrolet,Automatic,White,24.50734214
1800,Petrol,5,Tesla,Manual,Silver,16.9602091
800,Petrol,5,Nissan,Manual,Blue,18.13175425
1800,Petrol,1,Toyota,Automatic,White,16.96214783
1200,Diesel,1,BMW,Manual,Black,20.198353
5000,Diesel,1,Ford,Automatic,Silver,22.20951735
800,Electric,2,Volkswagen,Automatic,Silver,13.11440067
4000,Petrol,5,Toyota,Manual,Blue,23.99446033
1000,Petrol,2,Nissan,Manual,Red,16.18931288
2500,Electric,2,Kia,Manual,White,25.63805666
5000,Diesel,2,Hyundai,Automatic,Silver,8.174912228
1000,Electric,4,Chevrolet,Automatic,Red,25.26212881
5000,Electric,3,Kia,Automatic,Red,22.36196651
4000,Diesel,5,Chevrolet,Manual,White,10.66636895
2500,Petrol,3,Chevrolet,Manual,Gray,21.47202523
5000,Electric,3,Ford,Manual,Silver,6.699463438
1800,Petrol,5,Nissan,Manual,Gray,17.90946377
1000,Diesel,4,Kia,Manual,Blue,26.76055141
4000,Diesel,5,BMW,Automatic,Silver,33.36359038
2000,Diesel,1,Ford,Automatic,White,8.839570506
1000,Electric,4,Kia,Automatic,Silver,20.18920146
800,Diesel,3,Hyundai,Manual,Black,20.11992178
800,Petrol,3,Hyundai,Automatic,Black,12.59780395
800,Electric,3,Volkswagen,Automatic,White,9.817346273
4000,Electric,3,Hyundai,Manual,Blue,18.35164781
800,Electric,1,Ford,Manual,Gray,18.75337764
1200,Diesel,1,BMW,Manual,Blue,22.50361003
4000,Electric,4,Volkswagen,Manual,Silver,19.31808885
1000,Electric,1,Toyota,Automatic,Silver,19.53328588
1200,Electric,5,Volkswagen,Automatic,Red,9.329264167
800,Petrol,4,Hyundai,Automatic,Black,11.93087337
800,Diesel,4,Honda,Manual,White,23.79484171
5000,Petrol,4,Honda,Automatic,Black,10.67372338
1800,Petrol,5,Nissan,Automatic,White,29.97462862
1800,Electric,3,Honda,Automatic,Black,16.40702276
4000,Electric,5,Ford,Automatic,Red,19.18784486
1500,Electric,3,Hyundai,Automatic,White,12.0671968
5000,Diesel,5,Kia,Automatic,Silver,15.84330868
1000,Diesel,5,BMW,Manual,Blue,17.41431432
1000,Diesel,4,Toyota,Manual,Blue,22.82576913
1500,Petrol,3,Hyundai,Automatic,Gray,13.32128208
1000,Petrol,4,Volkswagen,Manual,Blue,18.41320564
1000,Electric,1,Chevrolet,Automatic,Blue,14.37866491
2000,Electric,2,Ford,Manual,Silver,11.14854481
3000,Petrol,4,Toyota,Automatic,Gray,19.83764714
1800,Petrol,4,Volkswagen,Manual,Blue,14.33659307
2500,Petrol,5,Nissan,Automatic,Blue,15.38610006
1500,Petrol,4,Ford,Automatic,White,24.10453147
4000,Electric,3,Ford,Manual,Gray,21.8471772
1000,Petrol,4,Tesla,Manual,Blue,21.71962372
800,Diesel,3,Toyota,Manual,Black,26.23903383
1800,Diesel,3,Tesla,Manual,Gray,10.28000207
2000,Petrol,4,Kia,Automatic,Black,11.87698321
800,Petrol,4,Kia,Automatic,Red,24.90657628
800,Diesel,1,BMW,Manual,Gray,9.487248423
2000,Electric,4,Toyota,Automatic,Black,14.02830858
800,Petrol,5,Chevrolet,Automatic,Red,17.72110714
2500,Electric,1,Chevrolet,Manual,Black,20.01285403
1500,Petrol,3,Ford,Manual,Blue,20.80630971
5000,Diesel,2,Toyota,Manual,Silver,19.72276773
4000,Diesel,1,Toyota,Manual,Gray,19.74506028
1200,Petrol,3,Volkswagen,Manual,Blue,15.74224179
1800,Electric,3,Hyundai,Automatic,Red,21.54334634
800,Electric,3,Chevrolet,Automatic,Gray,17.5747471
2000,Petrol,4,Tesla,Manual,Gray,19.74311057
1500,Diesel,5,Kia,Manual,Silver,14.36109661
1500,Electric,1,Tesla,Automatic,Red,25.3115731
3000,Petrol,1,Toyota,Automatic,Gray,18.59207999
1200,Diesel,1,Tesla,Automatic,Red,18.75452936
1500,Diesel,2,Hyundai,Automatic,Silver,11.38572869
4000,Electric,2,BMW,Automatic,White,22.41645082
5000,Electric,1,Nissan,Manual,Red,23.87427212
2500,Petrol,5,Kia,Manual,White,13.0437766
1500,Diesel,5,BMW,Manual,Black,19.92815156
1200,Diesel,5,Hyundai,Manual,Black,16.73119847
4000,Petrol,1,Ford,Manual,Silver,20.02315395
3000,Petrol,3,Nissan,Manual,White,18.12665997
1000,Electric,1,Kia,Manual,Red,14.58012902
4000,Diesel,5,Volkswagen,Automatic,Gray,15.62663383
5000,Petrol,5,Honda,Automatic,Silver,20.44152701
800,Diesel,1,Toyota,Automatic,Blue,20.0381297
1500,Diesel,4,Chevrolet,Manual,Black,17.96441654
800,Diesel,4,Hyundai,Automatic,Red,28.20127611
1000,Electric,1,Volkswagen,Manual,Silver,18.26618393
2500,Petrol,1,Toyota,Automatic,Black,16.98367361
5000,Electric,1,Chevrolet,Manual,Red,22.61888568
2000,Electric,2,Toyota,Automatic,Blue,19.65209812
2000,Electric,1,Kia,Automatic,Blue,16.54889951
3000,Diesel,1,Ford,Automatic,Silver,15.44044127
2500,Electric,3,Kia,Manual,Gray,10.96556893
2000,Electric,4,Chevrolet,Automatic,White,6.483183833
2500,Electric,4,Nissan,Manual,White,16.55334778
1800,Petrol,1,Honda,Manual,Blue,19.28145899
5000,Diesel,1,Nissan,Manual,Red,12.62486416
3000,Petrol,2,Nissan,Manual,Silver,20.78497556
1200,Electric,3,Chevrolet,Manual,Gray,26.11460079
800,Electric,4,Tesla,Manual,White,19.08911924
